seccion,titulo,descripcion,enlace,fecha
nfl,Harbaugh-led Giants to host Cowboys in Week 1,"The Giants will host the Cowboys on Sept. 13 in the first ""Sunday Night Football"" game of the 2026 season.",https://www.espn.com/nfl/story/_/id/48740437/john-harbaugh-giants-host-cowboys-week-1-sunday-night-football,"Tue, 12 May 2026 07:27:27 EST"
nfl,"Sources: Chargers, TE Njoku agree to 1-yr. deal","After nine years with the Browns, David Njoku has agreed to terms with the Chargers on a one-year deal worth up to $8 million, sources told NFL Network's Ian Rapoport.",https://www.espn.com/nfl/story/_/id/48739754/sources-chargers-te-david-njoku-agree-one-year-deal,"Tue, 12 May 2026 07:27:27 EST"
nfl,Vikes surprise Peterson with Ring of Honor news,"Adrian Peterson will enter the Minnesota Vikings' ring of honor this fall, the team announced Monday.",https://www.espn.com/nfl/story/_/id/48741817/vikings-induct-ex-rb-adrian-peterson-ring-honor,"Tue, 12 May 2026 07:27:27 EST"
nfl,"Morton, SB starter for Cowboys and Broncos, dies","Craig Morton, who spent 18 years in the NFL and became the first quarterback to start the Super Bowl for two franchises -- the Dallas Cowboys and Denver Broncos -- died over the weekend at 83.",https://www.espn.com/nfl/story/_/id/48746277/craig-morton-super-bowl-starter-cowboys-broncos-dies,"Tue, 12 May 2026 07:27:27 EST"
nfl,"Steelers reward Boswell with 4-year, $28M deal","The Steelers have agreed to terms with kicker Chris Boswell on a four-year, $28 million extension, his agency, CAA Football, told ESPN's Adam Schefter.",https://www.espn.com/nfl/story/_/id/48742244/steelers-boswell-now-tied-aubrey-nfl-top-paid-kicker,"Tue, 12 May 2026 07:27:27 EST"
nfl,Bills boost pass-rush depth with ex-Chief Danna,"The Bills added a familiar former opponent to the roster, signing outside linebacker Mike Danna to a one-year deal Monday.",https://www.espn.com/nfl/story/_/id/48741642/bills-sign-ex-chiefs-pass-rusher-mike-danna-1-year-deal,"Tue, 12 May 2026 07:27:27 EST"
nfl,SB LIX dancer found guilty of resisting officer,"Zul-Qarnain Kwame Nantambu was found guilty of resisting an officer charge, a misdemeanor, after disrupting Kendrick Lamar's Super Bowl halftime performance with a flag that read ""Sudan and Free Gaza.""",https://www.espn.com/nfl/story/_/id/48745453/super-bowl-lix-performer-found-guilty-resisting-officer,"Tue, 12 May 2026 07:27:27 EST"
nfl,💍 Michael Penix Jr. marries fiancée Olivia Carter...,"The Atlanta Falcons quarterback seemed to be recovering well from his ACL surgery, showing off his moves on the dance floor.",https://www.espn.com/nfl/story/_/id/48713394/michael-penix-jr-olivia-carter-wedding-atlanta-falcons,"Tue, 12 May 2026 07:27:27 EST"
nfl,Three questions facing Lamar Jackson and the Raven...,"Heading into next week's organized team activities, the Ravens have some major questions to address.",https://www.espn.com/nfl/story/_/id/48741815/questions-facing-lamar-jackson-baltimore-ravens-ravens-center-tyler-linderbaum-nnamdi-madubuike,"Tue, 12 May 2026 07:27:34 EST"
nfl,The non-Round 1 impact rookies: Yates lists 20 sle...,"We picked out Day 2 and Day 3 NFL draft picks who could contribute right away, including R Mason Thomas and Antonio Williams.",https://www.espn.com/nfl/draft2026/story/_/id/48702987/2026-nfl-draft-rookie-year-impact-middle-late-rounders,"Mon, 11 May 2026 21:56:54 EST"
